cid,text,time,author,channel,votes,photo,heart
UgwyvYY5BSNiBu97tMV4AaABAg,Bruno Mars would've catched  a grenade for ya,7 months ago,Kipper Republic,UCLrP_uLCwH1AjLnTA0yv9Ag,0,https://yt3.ggpht.com/ytc/AKedOLQCegrtgSsBT-EmfK2Ik0tr0fS31pFSPcwkMvODJw=s176-c-k-c0x00ffffff-no-rj,False
UgydUXX9c-AvrgSs7AF4AaABAg,"I disagree, his best joke ever is the ""Professor of Logic"" joke using the Hard F word",7 months ago,rafael cisneros,UCTIz3-gaC2HWq2RaRNo17aw,0,https://yt3.ggpht.com/ytc/AKedOLSs9zA3UbNU-HoUhJM52Vd_n4LixKe6GgnjlFzv=s176-c-k-c0x00ffffff-no-rj,False
UgyJjvfCMCOfl5qk5UZ4AaABAg,Miss you norm 🥲,7 months ago,OllieSMH,UCtNav4sbjfcRwDqdTcog8AA,1,https://yt3.ggpht.com/0Xn6VwFev4SophZUJ1Oz6kExqhrvODuEH2CH74TML4fG6d0K6F-_EHKgvX_S9PnRkdflOLN6=s176-c-k-c0x00ffffff-no-rj,False
UgwPRoYBRM5Dcdd6ssl4AaABAg.9SSLw4gUrWC9SSNRyCzb_o,"It's really funny, maybe you're just a little too soft for his humor",7 months ago,Kevin H.,UCRfv_IqgGToD54rk8Ruh5tg,0,https://yt3.ggpht.com/ytc/AKedOLR5m5h1G3cJxgfCQaYhuJy-qyznjGN4ByFZ2Q=s176-c-k-c0x00ffffff-no-rj,False
UgxxVHIVHOHZOyI26ZB4AaABAg,My norm tribute https://youtu.be/O8h3jeDSaGs,7 months ago,Lennys Printer,UC3jJgduhOw-2sQAcpRAp9Jw,0,https://yt3.ggpht.com/ytc/AKedOLTkmwURkTYo4MkYrftwWCDj5A6VN9h0wRe-RE4A=s176-c-k-c0x00ffffff-no-rj,False
UgwNW6MlK9s84ENhCGZ4AaABAg,"Is he dead? Holy shit. I'm reading down the comments and he died a few days ago! I've followed his humour for years. I love his Letterman stuff and all the rest. How awful. 
I don't have a tv so I never heard. Shit.",7 months ago (edited),Ingur Lund,UCR-6Bza54uTTocKM1CiEPtw,0,https://yt3.ggpht.com/ytc/AKedOLQ48dDmPyNwyYAYauDX86tIkp6jJQo-vxZMhA=s176-c-k-c0x00ffffff-no-rj,False
UgydZfdRHwCQ4Ov9zTh4AaABAg,We miss you Norm! Hope you are at peace.,7 months ago,Nate Skidmore,UCHdSOe9o8KaZRg-AI17XKGg,0,https://yt3.ggpht.com/ytc/AKedOLSd7ojEQluD5i7r4f06__pbQFHwgyuP-b73hA=s176-c-k-c0x00ffffff-no-rj,False
UgwrN-Ttk_0MkcMDOip4AaABAg,"far far far from Norm Macdonald's best joke. if you think this was his best joke, you can't be much of a Norm Macdonald fan",7 months ago,Steve Swangler,UChsCi0OaIuludlE_ccsLL_A,0,https://yt3.ggpht.com/ytc/AKedOLT-ucGKqh80bMWryKwcUNm6T2Nm9hgzAbungg=s176-c-k-c0x00ffffff-no-rj,False
UgwOAXhEJ8M5dUl11gt4AaABAg,"""Hey, careful with that! That's my lucky stabbing hat!""",7 months ago,Andy Sedgley,UC2CW78HdetnIbnMOp-3c2IA,0,https://yt3.ggpht.com/ytc/AKedOLSr6iggiHpPbTYIuVCGGcFjjNR2Q7TBwM2F3bS6zg=s176-c-k-c0x00ffffff-no-rj,False
Ugx38Y-j-m4yFr3N0B54AaABAg,and that’s the joke that pissed off his boss at NBC to the point of trying everything possible to get him fired,7 months ago,Boston Railfan,UCGz3PcLeVplydFU0lgCRIeA,0,https://yt3.ggpht.com/ytc/AKedOLSu0LhuJDWk45RhLCb4G6_oKXx-BTLbMX2lwGlzsg=s176-c-k-c0x00ffffff-no-rj,False
UgzjCFZGqu93t8C3gLp4AaABAg,So bummed that OJ Simpson outlived Norm,7 months ago,iLoveJackingOn,UCYDxvRxH5tu5qJrvPbw5zOw,0,https://yt3.ggpht.com/ytc/AKedOLSTky9-YD0trBdZaTpQKr6XFVlRTRLX_pY4FA=s176-c-k-c0x00ffffff-no-rj,False
UgzHJUxOLuHwMfSsx7J4AaABAg,So good,7 months ago,I Created An Account For This,UC8M0l1WWWiFRnGx-g_XPfbg,0,https://yt3.ggpht.com/ytc/AKedOLS0YMnSzpqdYerQqXM_1q-bPUaBdfy-PHdSYOcN=s176-c-k-c0x00ffffff-no-rj,False
Ugz_DQ3GPu1GgWAUwTJ4AaABAg,R.i.p,7 months ago,nat K,UCGDDHOLH6TNbCd8QYShGRxQ,0,https://yt3.ggpht.com/ytc/AKedOLQEi1vXsj23kQRfZCltaHJ_35fucHEljUcchDJmHw=s176-c-k-c0x00ffffff-no-rj,False
Ugzha_gwOdwv2adW7y54AaABAg,"He had an appearance on The Drew Carey Show that made me laugh. He was walking in front of a janitor, deliberately spilling coffee, saying, ""Missed a spot. Missed a spot.""",7 months ago,Paul Wetor,UCjkPGdE-FjKxrZocKSid8Eg,1,https://yt3.ggpht.com/ytc/AKedOLTrwl2O5j1ATjkUtHFgr9z-9gYxD0UvYllPK3SD=s176-c-k-c0x00ffffff-no-rj,False
UgzplRgpbfp6-Q1k6Kl4AaABAg,Lucky stabbin' hat joke is better but they're all good.,7 months ago,Bill Malec,UCAW-IOQcD04XkXTFcH11WAA,0,https://yt3.ggpht.com/l2p7kVxXM_3FGKz3IQUYby6I8yX1FAM975ZXVA5HQ-xwJpwy3iKnUdsczY1ivWSIquhv2SUu=s176-c-k-c0x00ffffff-no-rj,False
UgzGoqKJ4GF1J8vJ8jp4AaABAg,That's indeed great joke,7 months ago,Krzysiek Mazanek,UCdqT97dg3-CIQ3zqGQE4e0w,0,https://yt3.ggpht.com/ytc/AKedOLRpOB6YCPY9McnghMduVs3I4ICmfDhZtYYJB0KXTw=s176-c-k-c0x00ffffff-no-rj,False
UgyMurIaQBxsGHeNFD54AaABAg,Damn I loved watching videos of Norm on YT. Sad to getting told in the comment section he passed away three days ago,7 months ago,JTM 610,UCQwEBn8fHJsOOQQEfJr5ztg,0,https://yt3.ggpht.com/ytc/AKedOLStDwFlzjYh6IKItBDDqzyq2sfGazR_ozmDbypk6w=s176-c-k-c0x00ffffff-no-rj,False
Ugz1qYCmfmGKJi3IsuJ4AaABAg,That was his best joke? No wonder I don't know him.,7 months ago,Simple Man,UCHspO780gntU4Eb64iHMMGw,0,https://yt3.ggpht.com/ytc/AKedOLQxXG9vraaDCn3e8HQ6I3Ro8hr0CZHPdBXRcA=s176-c-k-c0x00ffffff-no-rj,False
UgyM0HKGnpC6XEloiI94AaABAg,"Holy shit I unironically thought the description was a joke, RIP :c",7 months ago,Yeard491,UC8NxQ4pg2FfHTkTVDOqA1nw,0,https://yt3.ggpht.com/ytc/AKedOLQ-CJSaEyM9XmP2EwTIK6jEXwWcpUZuGNMqX3pt=s176-c-k-c0x00ffffff-no-rj,False
